City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
191,Hvolsvollur,IS,52.47,overcast clouds,63.7533,-20.2243,Hotel Rangá
192,Morondava,MG,70.83,clear sky,-20.2833,44.2833,La Case Bambou
193,Kruisfontein,ZA,56.88,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
194,Kashira,RU,61.88,overcast clouds,54.8444,38.1669,"Гостиница Кашира, номер с кухней и ванной от 2500 руб. квартира на сутки Кашира."
195,Arraial Do Cabo,BR,73.26,light rain,-22.9661,-42.0278,Pousada Porto Praia
196,Molina,CL,60.53,clear sky,-35.1167,-71.2833,Hostal Pucará
197,Muscat,OM,90.55,overcast clouds,23.6139,58.5922,Mutrah Hotel
198,Skjervoy,NO,59.0,overcast clouds,70.0311,20.9714,Skjervøy fiskecamp AS
199,Pembroke,CA,78.19,clear sky,45.8168,-77.1162,Hillside Inn
200,Lorengau,PG,80.31,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
201,Nemuro,JP,65.89,overcast clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
202,Lompoc,US,86.68,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
203,Bengkulu,ID,75.51,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
204,Constitucion,CL,56.62,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
206,Shimoda,JP,77.11,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
207,Gornyy,RU,60.1,clear sky,55.1153,83.9059,Gostinyy Dvor
208,Suntar,RU,55.9,overcast clouds,62.1444,117.6319,Гостевая квартира
209,Galle,LK,77.27,scattered clouds,6.0367,80.217,Amangalla
210,Vaitape,PF,76.44,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
211,Pemba,MZ,75.45,clear sky,-12.974,40.5178,Guesthouse Samotina
213,Mayo,US,93.94,few clouds,38.8876,-76.5119,Resorts Resource Group International
214,Sioux Lookout,CA,68.02,few clouds,50.1001,-91.917,Knobby's Fly-In Camps
